Vehicle_Number	Owner_Name	Arr_Date	Arr_Time	Arr_AMPM	Dep_Date	Dep_Time	Dep_AMPM	Membership	Space_ID	Parkings_Done	Amount_Paid	Occupancy	Max_Revenue
PQR789	Bob	20-04-2024	09:15:00	AM	21-04-2024	06:20:00	PM	none	25	1	500	1	500
LMN321	Charlie	05-05-2024	12:00:00	PM	none	none	none	none	30	1	0	1	0
GHI987	David	18-07-2024	11:20:00	AM	18-07-2024	08:40:00	PM	none	40	1	350	1	350
MNO567	Grace	30-09-2024	06:10:00	AM	30-09-2024	09:45:00	PM	none	41	1	800	1	800
VWX123	Ivy	12-11-2024	09:45:00	AM	13-11-2024	11:30:00	PM	none	45	1	1500	1	1500
XYZ456	Alice	15-03-2024	08:30:00	AM	16-03-2024	07:45:00	PM	premium	15	3	7000	4	12000
ABC123	John	12-03-2024	10:00:00	AM	none	none	none	premium	14	6	9860	5	17500
STU890	Henry	05-10-2024	03:00:00	PM	06-10-2024	04:15:00	PM	premium	11	8	10000	6	50000
ACC121	Liam	12-12-2023	12:12:00	PM	13-12-2023	01:30:00	AM	premium	18	5	15000	7	95000
JKL234	Frank	23-08-2024	01:30:00	PM	24-08-2024	06:50:00	PM	golden	4	11	30000	8	80000
DEF654	Emily	10-06-2024	07:45:00	AM	none	none	none	golden	1	19	17500	10	20000
AAA121	Hoe	12-12-2024	09:00:00	PM	23-05-2024	09:09:00	none	golden	21	1	2923	1	2923
